[2025-06-09 11:15:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-09T03:16:08.454000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1381214823433502822'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T10:14:35.733000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1381471904141021265', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Guess the Number - Choose Difficulty', 'description': '🎮 **Pick a difficulty level**:\n- **Easy**: Numbers 1-50, 8 attempts\n- **Medium**: Numbers 1-100, 10 attempts\n- **Hard**: Numbers 1-200, 12 attempts\n- **Extreme**: Numbers 1-999, 15 attempts\nType `easy`, `medium`, `hard`, or `extreme` to start!', 'content_scan_version': 0, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1381214401045991553', 'author': {'username': 'Mathatatic Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1381203952707829790', 'global_name': None, 'discriminator': '8472', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a'}, 'attachments': [], 'guild_id': '1381214400517640252'}}
[2025-06-09 11:15:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:52] [DEBUG   ] discord.client: Dispatching event message
[2025-06-09 11:15:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1381214401045991553/messages with {"embeds":[{"color":3447003,"type":"rich","description":"\ud83c\udfae **Pick a difficulty level**:\n- **Easy**: Numbers 1-50, 8 attempts\n- **Medium**: Numbers 1-100, 10 attempts\n- **Hard**: Numbers 1-200, 12 attempts\n- **Extreme**: Numbers 1-999, 15 attempts\nType `easy`, `medium`, `hard`, or `extreme` to start!","title":"Guess the Number - Choose Difficulty"}],"content":null,"components":[],"tts":false} has returned 200
[2025-06-09 11:15:52] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-09 11:15:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1381214401045991553/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Guess the Number - Choose Difficulty', 'description': '🎮 **Pick a difficulty level**:\n- **Easy**: Numbers 1-50, 8 attempts\n- **Medium**: Numbers 1-100, 10 attempts\n- **Hard**: Numbers 1-200, 12 attempts\n- **Extreme**: Numbers 1-999, 15 attempts\nType `easy`, `medium`, `hard`, or `extreme` to start!', 'color': 3447003, 'content_scan_version': 0}], 'timestamp': '2025-06-09T03:16:08.454000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1381471904141021265', 'channel_id': '1381214401045991553', 'author': {'id': '1381203952707829790', 'username': 'Mathatatic Bot', 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a', 'discriminator': '8472', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}
[2025-06-09 11:15:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 11, 'op': 0, 'd': {'user_id': '705364115652083743', 'timestamp': 1749438972, 'member': {'user': {'username': 'antybiu', 'public_flags': 64, 'primary_guild': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'id': '705364115652083743', 'global_name': 'antybiu', 'display_name': 'antybiu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e9e882a952e4c5d9baa76c0c9fae40e9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T11:16:35.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1381214401045991553', 'guild_id': '1381214400517640252'}}
[2025-06-09 11:15:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:56] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-09 11:15:56] [DEBUG   ] discord.client: Dispatching event raw_typing
